"quote"
"“Any sufficiently advanced technology is indistinguishable from magic.” ― Arthur C. Clarke, Profiles of the Future: An Inquiry into the Limits of the Possible"
"“We have too much technological progress, life is too hectic, and our society has only one goal: to invent still more technological marvels to make life even easier and better. The craving for every new scientific discovery breeds a hunger for greater comfort and the constant struggle to achieve it. All that kills the soul, kills compassion, understanding, nobility. It leaves no time for caring what happens to other people, least of all criminals. Even the officials in Venezuela's remote areas are better for they're also concerned with public peace. It gives them many headaches, but they seem to believe that bringing about a man's salvation is worth the effort. I find that magnificent.” ― Henri Charrière, Papillon"
"“I had a close encounter with an alien last week. He returned to visit us and was amazed we were still here.” ― A.R. Merrydew"
"“My wish simply is to live my life as fully as I can. In both our work and our leisure, I think, we should be so employed. And in our time this means that we must save ourselves from the products that we are asked to buy in order, ultimately, to replace ourselves.” ― Wendell Berry, The Art of the Commonplace: The Agrarian Essays"
"“Pythagoras has had me going round in circles for years.”― Anthony Merrydew” ― A.R. Merrydew"
"“Artificial Intelligence never stops for lunch. The human race will loose their place at the table very soon.” ― A.R. Merrydew"
"“Science Fiction, is the last great escape.” ― A.R. Merrydew"
"“People who smile while they are alone used to be called insane, until we invented smartphones and social media.” ― Mokokoma Mokhonoana"
"“I think that novels that leave out technology misrepresent life as badly as Victorians misrepresented life by leaving out sex.” ― Kurt Vonnegut Jr., A Man Without a Country"
"“Everyone knows that the Internet is changing our lives, mostly because someone in the media has uttered that exact phrase every single day since 1993. However, it certainly appears that the main thing the Internet has accomplished is the normalization of amateur pornography. There is no justification for the amount of naked people on the World Wide Web, many of whom are clearly (clearly!) doing so for non-monetary reasons. Where were these people fifteen years ago? Were there really millions of women in 1986 turning to their husbands and saying, 'You know, I would love to have total strangers masturbate to images of me deep-throating a titanium dildo, but there's simply no medium for that kind of entertainment. I guess we'll just have to sit here and watch Falcon Crest again.” ― Chuck Klosterman, Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto"
"“She was hot. You could take a poll, write a book, break down all the reasons, the intellectual and physical gifts that shaped her personality, and whatever that intangible part was. Write poems about it, document it all in photos and movies, try to stay woke, but the reality was, what it all came back to, she was hot.” ― William Kely McClung, LOOP"
"“No foot, but strapped to his thigh was what looked like a wooden table leg. It looked ridiculous; the idea was completely idiotic. A naked pirate who couldn’t even afford a proper peg leg.” ― William Kely McClung, LOOP"
"“There might be some lost tribe somewhere on the planet who hadn’t been exposed to the movies and books of the genre, but these eight men—Mills was the oldest at 28—had grown up in a world where reanimated dead who shambled along eating brains were part of the fabric of everyday life. Where zombie movies equated to drinking games, late night laughs, and getting laid.” ― William Kely McClung, LOOP"
"“Our technology forces us to live mythically” ― Marshall McLuhan"
"“1. When a distinguished but elderly scientist states that something is possible, he is almost certainly right. When he states that something is impossible, he is very probably wrong.2. The only way of discovering the limits of the possible is to venture a little way past them into the impossible.3. Any sufficiently advanced technology is indistinguishable from magic.” ― Arthur C. Clarke"
"“Nobody that has seen a baby born can believe in god for a second. When you see your child born, and the panic, and the amount of technology that is saving the life of the two people you love most in the world, when you see how much stainless steel and money it takes to fight off the fact that god wants both those people dead, no one, no one can look into the eyes of a newborn baby and say there's a god, because I'll tell ya, if we were squatting in the woods, the two people I love most would be dead. There's just no way around that. If I were in charge, no way. We need technology to fight against nature; nature so wants us dead. Nature is trying to kill us.” ― Penn Jillette"
"“Humans are the reproductive organs of technology.” ― Kevin Kelly, What Technology Wants"
"“It was one thing to use computers as a tool, quite another to let them do your thinking for you.” ― Tom Clancy, The Hunt for Red October"
"“The AI does not hate you, nor does it love you, but you are made out of atoms which it can use for something else.” ― Eliezer Yudkowsky"
"“I do not believe that all books will or should migrate onto screens: as Douglas Adams once pointed out to me, more than 20 years before the Kindle showed up, a physical book is like a shark. Sharks are old: there were sharks in the ocean before the dinosaurs. And the reason there are still sharks around is that sharks are better at being sharks than anything else is. Physical books are tough, hard to destroy, bath-resistant, solar-operated, feel good in your hand: they are good at being books, and there wil always be a place for them.” ― Neil Gaiman"
"“Americans worship technology. It's an inherent trait in the national zeitgeist.” ― Max Brooks, World War Z: An Oral History of the Zombie War"
"“It doesn't stop being magic just because you know how it works.” ― Terry Pratchett, The Wee Free Men"
"“As cities grow and technology takes over the world belief and imagination fade away and so do we.” ― Julie Kagawa, The Iron King"
"“But today our very survival depends on our ability to stay awake, to adjust to new ideas, to remain vigilant and to face the challenge of change. The large house in which we live demands that we transform this world-wide neighborhood into a world – wide brotherhood. Together we must learn to live as brothers or together we will be forced to perish as fools.We must work passionately and indefatigably to bridge the gulf between our scientific progress and our moral progress. One of the great problems of mankind is that we suffer from a poverty of the spirit which stands in glaring contrast to our scientific and technological abundance. The richer we have become materially, the poorer we have become morally and spiritually.” ― Martin Luther King Jr."
"“Nin knew how much humans loved money, riches, and material things—though he never really could understand why. The more technologically advanced the human species got, the more isolated they seemed to become, at the same time. It was alarming, how humans could spend entire lifetimes engaged in all kinds of activities, without getting any closer to knowing who they really were, inside.” ― Jess C Scott, The Other Side of Life"
"“Technology is the knack of so arranging the world that we do not experience it.” ― Rollo May, The Cry for Myth"
"“I was flipping channels, watching this cheerleading program on MTV. They took a field hockey girl and “transformed” her into a cheerleader by the end of the show. I was just wondering: what if she liked field hockey better?” ― Jess C Scott, EyeLeash: A Blog Novel"
"“Gino’s Pizza Boy had the look of someone who’s biggest aspiration in life was to make it out of high school after two senior years.” ― William Kely McClung, LOOP"
"“Soon silence will have passed into legend. Man has turned his back on silence. Day after day he invents machines and devices that increase noise and distract humanity from the essence of life, contemplation, meditation...tooting, howling, screeching, booming, crashing, whistling, grinding, and trilling bolster his ego. His anxiety subsides. His inhuman void spreads monstrously like a gray vegetation.” ― Jean Arp"
"“Great. Abducted by aliens. She’d never live this one down. She wondered if they would dissect her. Maybe grab a steak of the tender parts and cook her up. Any sex stuff was too weird and horrible to think about, though it had been awhile. What the hell did she know? Brad Pitt. Surely, he wasn’t entirely human. Maybe it wouldn’t be so bad.” ― William Kely McClung, LOOP"
"“He’d seen combat and had been through two divorces, hadn’t thought of himself as a fearful man. But that was ten minutes ago.” ― William Kely McClung, LOOP"
"“The same First Amendment that gave people the right for thoughtful discourse with radically differing views, gave people the right to say all the stupid shit they wanted, and the Second, the means if not the guidance, to protect the first and a reason to pay attention.” ― William Kely McClung, LOOP"
"“The intentions of a tool are what it does. A hammer intends to strike, a vise intends to hold fast, a lever intends to lift. They are what it is made for. But sometimes a tool may have other uses that you don't know. Sometimes in doing what you intend, you also do what the knife intends, without knowing.” ― Philip Pullman, His Dark Materials - The Trilogy: The Golden Compass / The Subtle Knife / The Amber Spyglass"
"“But who would build the roads if there were no government? You mean to tell me that 300 million people in this country and 7 billion people on the planet would just sit around in their houses and think “Gee, I’d like to go visit Fred, but I can't because there isn’t a flat thing outside for me to drive on, and I don’t know how to build it and the other 300 million or 7 billion people can’t possibly do it because there aren’t any politicians and tax collectors. If they were here then we could do it. If they were here to boss us around and steal our money and really inefficiently build the flat places, then we would be set. Then I would be comfortable and confident that I could get places. But I can’t go to Fred’s house or the market because we can’t possibly build a flat space from A to B. We can make these really small devices that enable us to contact people from all over the word that fits in our pockets; we can make machines that we drive around in, but no, we can’t possibly build a flat space.” ― Larken Rose"
"“The production of too many useful things results in too many useless people.” ― Karl Marx"
"“It didn't come from the Government down. There was no dictum, no declaration, no censorship, to start with, no! Technology, mass exploitation, and minority pressure carried the trick, thank God.” ― Ray Bradbury, Fahrenheit 451"
"“[novan]: bassists are very good with their fingers[novan]: and some of us sing backup vocals, so that means we're good with our mouths too...(~ IM chat with Novan Chang, 18, bassist)” ― Jess C Scott, EyeLeash: A Blog Novel"
"“It seems to me, Golan, that the advance of civilization is nothing but an exercise in the limiting of privacy.” ― Isaac Asimov, Foundation's Edge"
"“Magic--that's just a label, you know. Completely meaningless. It wasn't so very long ago that people were saying that electricity was magic.” ― Robert Bloch, Psycho"
"“This society eliminates geographical distance only to produce a new internal separation.” ― Guy Debord, The Society of the Spectacle"
"“Ethics change with technology.” ― Larry Niven, N-Space"
"“The Internet is like alcohol in some sense. It accentuates what you would do anyway. If you want to be a loner, you can be more alone. If you want to connect, it makes it easier to connect.” ― Esther Dyson"
"“Some of the greatest discoveries...consist mainly in the clearing away of psychological roadblocks which obstruct the approach to reality; which is why,post factum they appear so obvious.” ― Arthur Koestler, The Sleepwalkers: A History of Man's Changing Vision of the Universe"
"“Stories set in the Culture in which Things Went Wrong tended to start with humans losing or forgetting or deliberately leaving behind their terminal. It was a conventional opening, the equivalent of straying off the path in the wild woods in one age, or a car breaking down at night on a lonely road in another.” ― Iain M. Banks, The Player of Games"
"“Technology is just a tool. In terms of getting the kids working together and motivating them, the teacher is the most important.” ― Bill Gates"
"“One-third to one-half of humanity are said to go to bed hungry every night. In the Old Stone Age the fraction must have been much smaller. This is the era of hunger unprecedented. Now, in the time of the greatest technical power, is starvation an institution. Reverse another venerable formula: the amount of hunger increases relatively and absolutely with the evolution of culture.” ― Marshall Sahlins, Stone Age Economics"
"“Human perfection and technical perfection are incompatible. If we strive for one, we must sacrifice the other: there is, in any case, a parting of the ways. Whoever realises this will do cleaner work one way or the other.Technical perfection strives towards the calculable, human perfection towards the incalculable. Perfect mechanisms - around which, therefore, stands an uncanny but fascinating halo of brilliance - evoke both fear and Titanic pride which will be humbled not by insight but only by catastrophe.The fear and enthusiasm we experience at the sight of perfect mechanisms are in exact contrast to the happiness we feel at the sight of a perfect work of art. We sense an attack on our integrity, on our wholeness. That arms and legs are lost or harmed is not yet the greatest danger.” ― Ernst Jünger, The Glass Bees"
"“Science and technology multiply around us. To an increasing extent they dictate the languages in which we speak and think. Either we use those languages, or we remain mute.” ― J.G. Ballard"
"“Something like missionary reductionism has happened to the internet with the rise of web 2.0. The strangeness is being leached away by the mush-making process. Individual web pages as they first appeared in the early 1990S had the flavor of personhood. MySpace preserved some of that flavor, though a process of regularized formatting had begun. Facebook went further, organizing people into multiple-choice identities, while Wikipedia seeks to erase point of view entirely.If a church or government were doing these things, it would feel authoritarian, but when technologists are the culprits, we seem hip, fresh, and inventive. People will accept ideas presented in technological form that would be abhorrent in any other form. It is utterly strange to hear my many old friends in the world of digital culture claim to be the true sons of the Renaissance without realizing that using computers to reduce individual expression is a primitive, retrograde activity, no matter how sophisticated your tools are.” ― Jaron Lanier, You Are Not a Gadget"
"“To say that the first casualty of war is truth is to miss the rather more important point that a principal weapon of war is lies.” ― Harry M. Collins, The Golem at Large: What You Should Know about Technology"
"“As technology accumulates and people in more parts of the planet become interdependent, the hatred between them tends to decrease, for the simple reason that you can't kill someone and trade with him too.” ― Steven Pinker, The Blank Slate: The Modern Denial of Human Nature"
"“In the age of technology there is constant access to vast amounts of information. The basket overflows; people get overwhelmed; the eye of the storm is not so much what goes on in the world, it is the confusion of how to think, feel, digest, and react to what goes on.” ― Criss Jami, Venus in Arms"
"“If privacy had a gravestone it might read: 'Don't Worry. This Was for Your Own Good.” ― John Twelve Hawks, The Dark River"
"“We have not noticed how fast the rest has risen. Most of the industrialized world--and a good part of the nonindustrialized world as well--has better cell phone service than the United States. Broadband is faster and cheaper across the industrial world, from Canada to France to Japan, and the United States now stands sixteenth in the world in broadband penetration per capita. Americans are constantly told by their politicians that the only thing we have to learn from other countries' health care systems is to be thankful for ours. Most Americans ignore the fact that a third of the country's public schools are totally dysfunctional (because their children go to the other two-thirds). The American litigation system is now routinely referred to as a huge cost to doing business, but no one dares propose any reform of it. Our mortgage deduction for housing costs a staggering $80 billion a year, and we are told it is crucial to support home ownership, except that Margaret Thatcher eliminated it in Britain, and yet that country has the same rate of home ownership as the United States. We rarely look around and notice other options and alternatives, convinced that ""we're number one.” ― Fareed Zakaria, The Post-American World"
"“This is the whole point of technology. It creates an appetite for immortality on the one hand. It threatens universal extinction on the other. Technology is lust removed from nature. - Murray (WN 285)” ― Don DeLillo, White Noise: Text and Criticism"
"“[Flaubert] didn’t just hate the railway as such; he hated the way it flattered people with the illusion of progress. What was the point of scientific advance without moral advance? The railway would merely permit more people to move about, meet and be stupid together.” ― Julian Barnes, Flaubert's Parrot"
"“It was a warship, after all. It was built, designed to glory in destruction, when it was considered appropriate. It found, as it was rightly and properly supposed to, an awful beauty in both the weaponry of war and the violence and devastation which that weaponry was capable of inflicting, and yet it knew that attractiveness stemmed from a kind of insecurity, a sort of childishness. It could see that—by some criteria—a warship, just by the perfectly articulated purity of its purpose, was the most beautiful single artifact the Culture was capable of producing, and at the same time understand the paucity of moral vision such a judgment implied. To fully appreciate the beauty of the weapon was to admit to a kind of shortsightedness close to blindness, to confess to a sort of stupidity. The weapon was not itself; nothing was solely itself. The weapon, like anything else, could only finally be judged by the effect it had on others, by the consequences it produced in some outside context, by its place in the rest of the universe. By this measure the love, or just the appreciation, of weapons was a kind of tragedy.” ― Iain M. Banks, Excession"
"“Technology is the campfire around which we tell our stories.” ― Laurie Anderson"
"“Hi there,"" squeaked a precocious little voice, ""you are speaking to Chloe Fusakawa, and I have just learned how to answer the phone.” ― Gabrielle Zevin, Memoirs of a Teenage Amnesiac"
"“Steam seems to have killed all gratitude in the hearts of sailors.” ― Jules Verne, Twenty Thousand Leagues Under the Sea"
"“We are losing our common vocabulary, built over thousands of years to help and delight and instruct us, for the sake of what we take to be the new technology's virtues. ” ― Alberto Manguel, The Library at Night"
"“It is tempting to write the history of technology through products: the wheel; the microscope; the airplane; the Internet. But it is more illuminating to write the history of technology through transitions: linear motion to circular motion; visual space to subvisual space; motion on land to motion on air; physical connectivity to virtual connectivity.” ― Siddhartha Mukherjee, The Gene: An Intimate History"
"“We are the children of a technological age. We have found streamlined ways of doing much of our routine work. Printing is no longer the only way of reproducing books. Reading them, however, has not changed.” ― Lawrence Clark Powell"
"“All of a sudden, we’ve lost a lot of control,’ he said. ‘We can’t turn off our internet; we can’t turn off our smartphones; we can’t turn off our computers. You used to ask a smart person a question. Now, who do you ask? It starts with g-o, and it’s not God…” ― Steve Wozniak"
"“The place of the worst barbarism is that modern forest that makes use of us, this forest of chimneys and bayonets, machines and weapons, of strange inanimate beasts that feed on human flesh.” ― Amadeo Bordiga"
"“Design is not limited to fancy new gadgets. Our family just bought a new washing machine and dryer. We didn’t have a very good one so we spent a little time looking at them. It turns out that the Americans make washers and dryers all wrong. The Europeans make them much better – but they take twice as long to do clothes! It turns out that they wash them with about a quarter as much water and your clothes end up with a lot less detergent on them. Most important, they don’t trash your clothes. They use a lot less soap, a lot less water, but they come out much cleaner, much softer, and they last a lot longer. We spent some time in our family talking about what’s the trade-off we want to make. We ended up talking a lot about design, but also about the values of our family. Did we care most about getting our wash done in an hour versus an hour and a half? Or did we care most about our clothes feeling really soft and lasting longer? Did we care about using a quarter of the water? We spent about two weeks talking about this every night at the dinner table. We’d get around to that old washer-dryer discussion. And the talk was about design. We ended up opting for these Miele appliances, made in Germany. They’re too expensive, but that’s just because nobody buys them in this country. They are really wonderfully made and one of the few products we’ve bought over the last few years that we’re all really happy about. These guys really thought the process through. They did such a great job designing these washers and dryers. I got more thrill out of them than I have out of any piece of high tech in years.” ― Steve Jobs"
"“It doesn’t matter how long we’ve used something; all that matters is how awesome the thing replacing it is. MP3s and automobiles happen to be really, really awesome, whereas ebooks—at least so far—are fairly limited in their awesomeness.” ― John Green"
"“Our advanced technological society is rapidly making objects of us and subtly programming us into conformity to the logic of its system to the degree that this happens, we are also becoming submerged in a new ""Culture of Silence"".” ― Richard Shaull, Pedagogy of the Oppressed"
"“Right, my phone. When these things first appeared, they were so cool. Only when it was too late did people realize they are as cool as electronic tags on remand prisoners.” ― David Mitchell, Ghostwritten"
"“Western society has accepted as unquestionable a technological imperative that is quite as arbitrary as the most primitive taboo: not merely the duty to foster invention and constantly to create technological novelties, but equally the duty to surrender to these novelties unconditionally, just because they are offered, without respect to their human consequences.” ― Lewis Mumford"
"“The intentions of the cybernetic totalist tribe are good. They are simply following a path that was blazed in earlier times by well-meaning Freudians and Marxists - and I don't mean that in a pejorative way. I'm thinking of the earliest incarnations of Marxism, for instance, before Stalinism and Maoism killed millions. Movements associated with Freud and Marx both claimed foundations in rationality and the scientific understanding of the world. Both perceived themselves to be at war with the weird, manipulative fantasies of religions. And yet both invented their own fantasies that were just as weird. The same thing is happening again. A self-proclaimed materialist movement that attempts to base itself on science starts to look like a religion rather quickly. It soon presents its own eschatology and its own revelations about what is really going on - portentous events that no one but the initiated can appreciate. The Singularity and the noosphere, the idea that a collective consciousness emerges from all the users on the web, echo Marxist social determinism and Freud's calculus of perversions. We rush ahead of skeptical, scientific inquiry at our peril, just like the Marxists and Freudians.” ― Jaron Lanier, You Are Not a Gadget"
"“Technical people don't make good slaves. Without their wholehearted cooperation, things fall apart.” ― Vernor Vinge, A Deepness in the Sky"
"“In our modern age, cell phone technology permits us to record the constant brutality that occurs all around us; we experience not an uptick in violence but a new kind of witnessing.” ― Colson Whitehead, The Nickel Boys"
"“The 90’s map the decades to come – full of invisible technologies that will ‘sub-contract’ many of the functions of the central nervous system.” ― J.G. Ballard"
"“The ultimate concept car will move so fast, even at rest, as to be invisible.” ― J.G. Ballard"
"“If it hurts, do it more frequently, and bring the pain forward.” ― Jez Humble, Continuous Delivery: Reliable Software Releases Through Build, Test, and Deployment Automation"
"“Some things are just like riding a bicycle; you jump on, pedal, and hope you don’t fall.” ― Henry Mosquera, Sleeper's Run"
"“It's too late to be studying Hebrew; it's more important to understand even the slang of today.” ― Henry David Thoreau, Walking"
"“These people were the first to master a new kind of late twentieth-century life. They thrived on the rapid turnover of acquaintances, the lack of involvement with others, and the total self-sufficiency of lives which, needing nothing, were never disappointed.” ― J.G. Ballard"
"“I might love my e-reader, but I'd never pass up the chance to browse real books.” ― Nichole Chase, Suddenly Royal"
"“Human beings disappear; their histories remain.” ― Bernard Stiegler, Technics and Time, 3: Cinematic Time and the Question of Malaise"
"“Technology is destructive only in the hands of people who do not realize that they are one and the same process as the universe. ” ― Alan Watts"
